Taxon	Abundance	Fraction Abundance
metagenomes	200.54100000000003	0.0658
Bacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;CandidatusKoribacter	94549081_Candidatus_Koribacter_versatilis_Ellin345	287.048	0.0942
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Thermincola	296030128_Thermincola_potens_JR	31.74	0.0104
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Frankineae;Geodermatophilaceae;Geodermatophilus	284061874_Geodermatophilus_obscurus_DSM_43160	0.507	0.0002
Bacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Granulicella	321161386_Granulicella_tundricola_MP5ACTX9	7.749	0.0025
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Leifsonia	50950407_Leifsonia_xyli_subsp._xyli_str._CTCB07	0.223	0.0001
Bacteria;Actinobacteria;Acidimicrobidae;Acidimicrobiales;Acidimicrobineae;Acidimicrobiaceae;Acidimicrobium	256007408_Acidimicrobium_ferrooxidans_DSM_10331	315.217	0.1035
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Sanguibacteraceae;Sanguibacter	269095543_Sanguibacter_keddieii_DSM_10542	1.532	0.0005
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Mycobacteriaceae;Mycobacterium	359817839_Mycobacterium_rhodesiae_NBB3	9.296999999999999	0.0031
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis	315415063_Asticcacaulis_excentricus_CB_48	4.039	0.0013
Bacteria;Firmicutes;Clostridia;Clostridiales	212989308_[Bacteroides]_pectinophilus_ATCC_43243	3.302	0.0011
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Niastella	361057412_Niastella_koreensis_GR20-10	2.588	0.0008
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	357934279_Burkholderia_sp._YI23	3.0839999999999996	0.0010
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Frankineae;Geodermatophilaceae;Blastococcus	378781357_Blastococcus_saxobsidens_DD2	134.30999999999997	0.0441
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexineae;Roseiflexaceae;Roseiflexus	148566298_Roseiflexus_sp._RS-1	36.69	0.0120
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Frankineae;Frankiaceae;Frankia	111147037_Frankia_alni_ACN14a	5.282	0.0017
Bacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Granulicella	358750971_Granulicella_mallensis_MP5ACTX8	8.937999999999999	0.0029
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Coccomyxaceae;Coccomyxa	317467203_Coccomyxa_subellipsoidea_C-169	6.052	0.0020
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Thermosinus	121306656_Thermosinus_carboxydivorans_Nor1	62.748	0.0206
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Nocardiopsaceae;Nocardiopsis	296848233_Nocardiopsis_dassonvillei_subsp._dassonvillei_DSM_43111	2.482	0.0008
Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Singulisphaera	371954767_Singulisphaera_acidiphila_DSM_18658	1.928	0.0006
unclassifiedsequences;environmentalsamples	374853545_uncultured_prokaryote	11.725	0.0038
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	317393398_Bacillus_sp._2_A_57_CT2	4.971	0.0016
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas	39650002_Rhodopseudomonas_palustris_CGA009	3.715	0.0012
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiasubdivision3;Pedosphaera	223894834_Pedosphaera_parvula_Ellin514	2.884	0.0009
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Cellulomonadaceae;Cellulomonas	332337569_Cellulomonas_fimi_ATCC_484	30.718	0.0101
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Jonesiaceae;Jonesia	256684786_Jonesia_denitrificans_DSM_20603	0.487	0.0002
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium	196476886_Phenylobacterium_zucineum_HLK1	10.107	0.0033
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus	226237899_Rhodococcus_opacus_B4	14.376000000000001	0.0047
