NCBI.ID.x,Type,Color
NC_009792,label,#7FC97F
NC_009802,label,#7FC97F
NC_009802,label,#7FC97F
NC_009802,label,#7FC97F
NC_009832,label,#7FC97F
NC_009832,label,#7FC97F
NC_009832,label,#7FC97F
NC_009832,label,#7FC97F
NC_009848,label,#E6AB02
NC_009943,label,#7FC97F
NC_009943,label,#7FC97F
NC_009943,label,#7FC97F
NC_009953,label,#F4CAE4
NC_010001,label,#E6AB02
NC_010001,label,#E6AB02
NC_010002,label,#7FC97F
NC_010002,label,#7FC97F
NC_010002,label,#7FC97F
NC_010002,label,#7FC97F
NC_010002,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010084,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010086,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010087,label,#7FC97F
NC_010103,label,#7FC97F
NC_010103,label,#7FC97F
NC_010104,label,#7FC97F
NC_010104,label,#7FC97F
NC_010162,label,#7FC97F
NC_010163,label,#CCEBC5
NC_010167,label,#7FC97F
NC_010167,label,#7FC97F
NC_010168,label,#F4CAE4
NC_010169,label,#7FC97F
NC_010169,label,#7FC97F
NC_010170,label,#7FC97F
NC_010170,label,#7FC97F
NC_010170,label,#7FC97F
NC_010170,label,#7FC97F
NC_010170,label,#7FC97F
NC_010170,label,#7FC97F
NC_010172,label,#7FC97F
NC_010172,label,#7FC97F
NC_010172,label,#7FC97F
NC_010172,label,#7FC97F
NC_010172,label,#7FC97F
NC_010184,label,#E6AB02
NC_010184,label,#E6AB02
NC_010184,label,#E6AB02
NC_010184,label,#E6AB02
NC_010184,label,#E6AB02
NC_010184,label,#E6AB02
NC_010184,label,#E6AB02
NC_010320,label,#E6AB02
NC_010321,label,#E6AB02
NC_010322,label,#7FC97F
NC_010322,label,#7FC97F
NC_010322,label,#7FC97F
NC_010336,label,#7FC97F
NC_010336,label,#7FC97F
NC_010336,label,#7FC97F
NC_010337,label,#E6AB02
NC_010338,label,#7FC97F
NC_010338,label,#7FC97F
NC_010338,label,#7FC97F
NC_010338,label,#7FC97F
NC_010424,label,#E6AB02
NC_010465,label,#7FC97F
NC_010465,label,#7FC97F
NC_010468,label,#7FC97F
NC_010468,label,#7FC97F
NC_010468,label,#7FC97F
NC_010473,label,#7FC97F
NC_010473,label,#7FC97F
NC_010473,label,#7FC97F
NC_010501,label,#7FC97F
NC_010501,label,#7FC97F
NC_010501,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010505,label,#7FC97F
NC_010508,label,#7FC97F
NC_010508,label,#7FC97F
NC_010508,label,#7FC97F
NC_010508,label,#7FC97F
NC_010511,label,#7FC97F
NC_010511,label,#7FC97F
NC_010511,label,#7FC97F
NC_010511,label,#7FC97F
NC_010511,label,#7FC97F
NC_010512,label,#7FC97F
NC_010512,label,#7FC97F
NC_010512,label,#7FC97F
NC_010512,label,#7FC97F
NC_010515,label,#7FC97F
NC_010515,label,#7FC97F
NC_010515,label,#7FC97F
NC_010515,label,#7FC97F
NC_010516,label,#E6AB02
NC_010516,label,#E6AB02
NC_010520,label,#E6AB02
NC_010520,label,#E6AB02
NC_010524,label,#7FC97F
NC_010528,label,#7FC97F
NC_010528,label,#7FC97F
NC_010528,label,#7FC97F
NC_010528,label,#7FC97F
NC_010528,label,#7FC97F
NC_010530,label,#7FC97F
NC_010530,label,#7FC97F
NC_010530,label,#7FC97F
NC_010530,label,#7FC97F
NC_010530,label,#7FC97F
NC_010551,label,#7FC97F
NC_010551,label,#7FC97F
NC_010551,label,#7FC97F
NC_010551,label,#7FC97F
NC_010552,label,#7FC97F
NC_010552,label,#7FC97F
NC_010552,label,#7FC97F
NC_010552,label,#7FC97F
NC_010554,label,#7FC97F
NC_010554,label,#7FC97F
NC_010554,label,#7FC97F
NC_010556,label,#E6AB02
NC_010556,label,#E6AB02
NC_010556,label,#E6AB02
NC_010557,label,#7FC97F
NC_010557,label,#7FC97F
NC_010557,label,#7FC97F
NC_010557,label,#7FC97F
NC_010571,label,#666666
NC_010571,label,#666666
NC_010571,label,#666666
NC_010572,label,#F4CAE4
NC_010572,label,#F4CAE4
NC_010577,label,#7FC97F
NC_010577,label,#7FC97F
NC_010581,label,#7FC97F
NC_010581,label,#7FC97F
NC_010581,label,#7FC97F
NC_010581,label,#7FC97F
NC_010581,label,#7FC97F
NC_010602,label,#F0027F
NC_010602,label,#F0027F
NC_010602,label,#F0027F
NC_010602,label,#F0027F
NC_010617,label,#F4CAE4
NC_010622,label,#7FC97F
NC_010622,label,#7FC97F
