"OTU ID in (Rideout et al., 2014)",Phylum,RefSoil ID,Andisols,Gelisols,Vertisols,Mollisols,Inceptisols,Alfisols,Ultisols,"Sand,Rock,Ice",Entisols
New.52.CleanUp.ReferenceOTU39319,Proteobacteria,"RefSoil_265,RefSoil_630",0,0,0,0,0,0,0,0,0
New.52.CleanUp.ReferenceOTU59664,Armatimonadetes,RefSoil_866,0,0,0,3,0,0,0,0,0
New.52.CleanUp.ReferenceOTU85919,Acidobacteria,RefSoil_539,0,0,0,0,0,0,0,0,0
New.52.CleanUp.ReferenceOTU144875,Firmicutes,"RefSoil_245,RefSoil_812",0,0,0,0,0,0,0,0,0
New.53.CleanUp.ReferenceOTU131085,Bacteroidetes,RefSoil_344,0,0,0,379,0,0,0,0,0
New.53.CleanUp.ReferenceOTU191242,Proteobacteria,RefSoil_755,0,0,0,12,0,0,0,0,0
New.53.CleanUp.ReferenceOTU523671,Proteobacteria,RefSoil_403,0,0,0,29,0,0,0,0,0
New.53.CleanUp.ReferenceOTU533672,Proteobacteria,"RefSoil_906,RefSoil_533",0,0,0,3,0,0,0,0,0
New.53.CleanUp.ReferenceOTU826098,Proteobacteria,RefSoil_483,0,0,0,2,0,0,0,0,0
New.53.CleanUp.ReferenceOTU849737,Acidobacteria,RefSoil_452,0,0,0,9,0,0,0,0,0
New.53.CleanUp.ReferenceOTU971696,Proteobacteria,RefSoil_511,0,0,0,4,0,0,0,0,0
New.53.CleanUp.ReferenceOTU1121460,Proteobacteria,RefSoil_752,0,0,0,3,0,0,0,0,0
77193,Actinobacteria,"RefSoil_20,RefSoil_247,RefSoil_509,RefSoil_521,RefSoil_634,RefSoil_744,RefSoil_759,RefSoil_762,RefSoil_771,RefSoil_794",0,0,0,8,0,0,0,0,0
142346,Proteobacteria,RefSoil_926,0,0,0,5,0,0,0,0,0
New.59.ReferenceOTU2700,Proteobacteria,"RefSoil_124,RefSoil_727",0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU5921,Proteobacteria,"RefSoil_815,RefSoil_882",0,0,0,2,0,0,0,0,0
