DATASET_TEXT
SEPARATOR COMMA
DATASET_LABEL,phylum name
COLOR,#ff0000

#the following fields are possible for each node:
#ID,label,position,color,style,size_factor,rotation

#position defines the position of the text label on the tree:
#  -1 = external label
#  a number between 0 and 1 = internal label positioned at the specified value along the node branch (for example, position 0 is exactly at the start of node branch, position 0.5 is in the middle, and position 1 is at the end)
#style can be 'normal',''bold','italic' or 'bold-italic'
#size factor will be multiplied with the standard font size

DATA
#NCBI.ID.x,Phylum,outside,Color,font,size
NC_007964,Proteobacteria,-1,#7FC97F,normal,1
NC_007969,Proteobacteria,-1,#7FC97F,normal,1
NC_007969,Proteobacteria,-1,#7FC97F,normal,1
NC_007969,Proteobacteria,-1,#7FC97F,normal,1
NC_007973,Proteobacteria,-1,#7FC97F,normal,1
NC_007973,Proteobacteria,-1,#7FC97F,normal,1
NC_007973,Proteobacteria,-1,#7FC97F,normal,1
NC_007973,Proteobacteria,-1,#7FC97F,normal,1
NC_007973,Proteobacteria,-1,#7FC97F,normal,1
NC_007973,Proteobacteria,-1,#7FC97F,normal,1
NC_008009,Acidobacteria,-1,#FDB462,normal,1
NC_008009,Acidobacteria,-1,#FDB462,normal,1
NC_008027,Proteobacteria,-1,#7FC97F,normal,1
NC_008027,Proteobacteria,-1,#7FC97F,normal,1
NC_008095,Proteobacteria,-1,#7FC97F,normal,1
NC_008146,Actinobacteria,-1,#F4CAE4,normal,1
NC_008146,Actinobacteria,-1,#F4CAE4,normal,1
NC_008146,Actinobacteria,-1,#F4CAE4,normal,1
NC_008146,Actinobacteria,-1,#F4CAE4,normal,1
NC_008148,Actinobacteria,-1,#F4CAE4,normal,1
NC_008148,Actinobacteria,-1,#F4CAE4,normal,1
NC_008149,Proteobacteria,-1,#7FC97F,normal,1
NC_008149,Proteobacteria,-1,#7FC97F,normal,1
NC_008149,Proteobacteria,-1,#7FC97F,normal,1
NC_008149,Proteobacteria,-1,#7FC97F,normal,1
NC_008150,Proteobacteria,-1,#7FC97F,normal,1
NC_008150,Proteobacteria,-1,#7FC97F,normal,1
NC_008150,Proteobacteria,-1,#7FC97F,normal,1
NC_008150,Proteobacteria,-1,#7FC97F,normal,1
NC_008150,Proteobacteria,-1,#7FC97F,normal,1
NC_008245,Proteobacteria,-1,#7FC97F,normal,1
NC_008254,Proteobacteria,-1,#7FC97F,normal,1
NC_008254,Proteobacteria,-1,#7FC97F,normal,1
NC_008254,Proteobacteria,-1,#7FC97F,normal,1
NC_008254,Proteobacteria,-1,#7FC97F,normal,1
NC_008254,Proteobacteria,-1,#7FC97F,normal,1
NC_008255,Bacteroidetes,-1,black,normal,1
NC_008255,Bacteroidetes,-1,black,normal,1
NC_008261,Firmicutes,-1,#E6AB02,normal,1
NC_008268,Actinobacteria,-1,#F4CAE4,normal,1
NC_008268,Actinobacteria,-1,#F4CAE4,normal,1
NC_008268,Actinobacteria,-1,#F4CAE4,normal,1
NC_008268,Actinobacteria,-1,#F4CAE4,normal,1
NC_008268,Actinobacteria,-1,#F4CAE4,normal,1
NC_008268,Actinobacteria,-1,#F4CAE4,normal,1
NC_008278,Actinobacteria,-1,#F4CAE4,normal,1
NC_008313,Proteobacteria,-1,#7FC97F,normal,1
NC_008313,Proteobacteria,-1,#7FC97F,normal,1
NC_008313,Proteobacteria,-1,#7FC97F,normal,1
NC_008313,Proteobacteria,-1,#7FC97F,normal,1
NC_008314,Proteobacteria,-1,#7FC97F,normal,1
NC_008314,Proteobacteria,-1,#7FC97F,normal,1
NC_008314,Proteobacteria,-1,#7FC97F,normal,1
NC_008314,Proteobacteria,-1,#7FC97F,normal,1
NC_008343,Proteobacteria,-1,#7FC97F,normal,1
NC_008343,Proteobacteria,-1,#7FC97F,normal,1
NC_008380,Proteobacteria,-1,#7FC97F,normal,1
NC_008380,Proteobacteria,-1,#7FC97F,normal,1
NC_008380,Proteobacteria,-1,#7FC97F,normal,1
NC_008380,Proteobacteria,-1,#7FC97F,normal,1
NC_008380,Proteobacteria,-1,#7FC97F,normal,1
NC_008380,Proteobacteria,-1,#7FC97F,normal,1
NC_008380,Proteobacteria,-1,#7FC97F,normal,1
NC_008390,Proteobacteria,-1,#7FC97F,normal,1
NC_008390,Proteobacteria,-1,#7FC97F,normal,1
NC_008390,Proteobacteria,-1,#7FC97F,normal,1
NC_008390,Proteobacteria,-1,#7FC97F,normal,1
NC_008391,Proteobacteria,-1,#7FC97F,normal,1
NC_008391,Proteobacteria,-1,#7FC97F,normal,1
NC_008391,Proteobacteria,-1,#7FC97F,normal,1
NC_008391,Proteobacteria,-1,#7FC97F,normal,1
NC_008392,Proteobacteria,-1,#7FC97F,normal,1
NC_008392,Proteobacteria,-1,#7FC97F,normal,1
NC_008392,Proteobacteria,-1,#7FC97F,normal,1
NC_008392,Proteobacteria,-1,#7FC97F,normal,1
NC_008435,Proteobacteria,-1,#7FC97F,normal,1
NC_008435,Proteobacteria,-1,#7FC97F,normal,1
NC_008463,Proteobacteria,-1,#7FC97F,normal,1
NC_008463,Proteobacteria,-1,#7FC97F,normal,1
NC_008497,Firmicutes,-1,#E6AB02,normal,1
NC_008497,Firmicutes,-1,#E6AB02,normal,1
NC_008497,Firmicutes,-1,#E6AB02,normal,1
